Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,_month,_day,_Disciplinary failure,_drinker,_smoker,_pet,Transportation expense [Binned],Distance from Residence to Work [Binned],Service time [Binned],Age [Binned],Work load Average/day [Binned],Hit target [Binned],Body mass index [Binned]
11,7,5,1,189,29,13,33,239.554,97,0,1,2,0,0,2,69,167,25,8,Jul,Thu,No,No,No,,Low,High,Low,Low,Low,High,Low
23,8,4,1,248,25,14,47,205.917,92,0,1,2,0,0,1,86,165,32,2,Aug,Wed,No,No,No,Yes,High,Low,High,High,Low,Low,High
10,8,4,1,330,16,4,28,205.917,92,0,2,0,0,0,0,84,182,25,8,Aug,Wed,No,No,No,No,High,Low,Low,Low,Low,Low,Low
11,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,1,Aug,Mon,No,Yes,No,No,Low,High,High,High,Low,Low,High
13,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,40,Aug,Mon,No,Yes,No,,High,High,Low,Low,Low,Low,High
28,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,4,Aug,Fri,No,Yes,No,No,High,High,Low,Low,Low,Low,Low
18,8,2,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,Aug,Mon,No,Yes,No,Yes,High,High,Low,Low,Low,Low,High
25,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,7,Aug,Mon,No,Yes,No,,High,High,Low,Low,Low,Low,High
23,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,1,Aug,Tue,No,Yes,No,Yes,High,High,Low,Low,Low,Low,High
28,8,4,1,157,27,6,29,205.917,92,0,1,0,1,1,0,75,185,22,4,Aug,Wed,No,Yes,Yes,No,Low,High,Low,Low,Low,Low,Low
18,8,4,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,Aug,Wed,No,Yes,No,Yes,High,High,Low,Low,Low,Low,High
23,8,6,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2,Aug,Fri,No,Yes,No,No,Low,High,High,High,Low,Low,High
18,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,8,Aug,Mon,No,Yes,No,No,Low,High,High,High,Low,Low,High
18,8,5,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8,Aug,Thu,No,No,Yes,,High,High,Low,High,Low,Low,High
23,8,5,1,235,11,14,37,205.917,92,0,3,1,0,0,1,88,172,29,4,Aug,Thu,No,No,No,Yes,High,Low,High,Low,Low,Low,High
18,8,2,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8,Aug,Mon,No,No,Yes,,High,High,Low,High,Low,Low,High
23,8,2,1,179,51,18,38,205.917,92,0,1,0,1,0,0,89,170,31,2,Aug,Mon,No,Yes,No,No,Low,High,High,High,Low,Low,High
23,8,2,1,361,52,3,28,205.917,92,0,1,1,1,0,4,80,172,27,1,Aug,Mon,No,Yes,No,,High,High,Low,Low,Low,Low,High
24,8,3,1,289,36,13,33,205.917,92,0,1,2,1,0,1,90,172,30,8,Aug,Tue,No,Yes,No,Yes,High,High,Low,Low,Low,Low,High
11,8,5,1,291,50,12,32,205.917,92,0,1,0,1,0,0,65,169,23,4,Aug,Thu,No,Yes,No,No,High,High,Low,Low,Low,Low,Low
28,8,6,1,235,29,12,48,205.917,92,0,1,1,0,1,5,88,163,33,8,Aug,Fri,No,No,Yes,,High,High,Low,High,Low,Low,High
23,8,6,1,260,50,11,36,205.917,92,0,1,4,1,0,0,65,168,23,4,Aug,Fri,No,Yes,No,No,High,High,Low,Low,Low,Low,Low
23,9,3,1,184,42,7,27,241.476,92,0,1,0,0,0,0,58,167,21,2,Sep,Tue,No,No,No,No,Low,High,Low,Low,Low,Low,Low
23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,4,Sep,Mon,No,No,No,No,Low,Low,Low,Low,Low,Low,High
23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,4,Sep,Tue,No,Yes,No,No,Low,High,High,High,Low,Low,High
19,9,3,1,235,20,13,43,241.476,92,0,1,1,1,0,0,106,167,38,8,Sep,Tue,No,Yes,No,No,High,Low,Low,High,Low,Low,High
23,9,4,1,155,12,14,34,241.476,92,0,1,2,1,0,0,95,196,25,2,Sep,Wed,No,Yes,No,No,Low,Low,High,Low,Low,Low,Low
23,9,2,1,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,3,Sep,Mon,No,No,No,No,Low,Low,Low,Low,Low,Low,High
23,9,3,1,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3,Sep,Tue,No,Yes,No,No,Low,High,High,High,Low,Low,High
23,9,5,1,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,4,Sep,Thu,No,Yes,No,Yes,High,High,Low,High,Low,Low,Low
22,9,6,1,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,8,Sep,Fri,No,Yes,No,No,High,High,Low,Low,Low,Low,Low
14,9,2,4,291,31,12,40,241.476,92,0,1,1,1,0,1,73,171,25,32,Sep,Mon,No,Yes,No,Yes,High,High,Low,High,Low,Low,Low
0,9,2,4,260,50,11,36,241.476,92,1,1,4,1,0,0,65,168,23,0,Sep,Mon,Yes,Yes,No,No,High,High,Low,Low,Low,Low,Low
0,9,2,4,225,26,9,28,241.476,92,1,1,1,0,0,2,69,169,24,0,Sep,Mon,Yes,No,No,,Low,Low,Low,Low,Low,Low,Low
23,9,3,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,2,Sep,Tue,No,No,No,,Low,Low,Low,Low,Low,Low,Low
23,9,3,4,118,10,10,37,241.476,92,0,1,0,0,0,0,83,172,28,2,Sep,Tue,No,No,No,No,Low,Low,Low,Low,Low,Low,High
0,9,3,4,289,36,13,33,241.476,92,1,1,2,1,0,1,90,172,30,0,Sep,Tue,Yes,Yes,No,Yes,High,High,Low,Low,Low,Low,High
0,9,3,4,118,13,18,50,241.476,92,1,1,1,1,0,0,98,178,31,0,Sep,Tue,Yes,Yes,No,No,Low,Low,High,High,Low,Low,High
18,9,4,4,225,26,9,28,241.476,92,0,1,1,0,0,2,69,169,24,3,Sep,Wed,No,No,No,,Low,Low,Low,Low,Low,Low,Low
23,9,4,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3,Sep,Wed,No,Yes,No,No,Low,High,High,High,Low,Low,High
0,9,4,4,369,17,12,31,241.476,92,1,1,3,1,0,0,70,169,25,0,Sep,Wed,Yes,Yes,No,No,High,Low,Low,Low,Low,Low,Low
23,9,6,4,248,25,14,47,241.476,92,0,1,2,0,0,1,86,165,32,1,Sep,Fri,No,No,No,Yes,High,Low,High,High,Low,Low,High
23,9,6,4,179,51,18,38,241.476,92,0,1,0,1,0,0,89,170,31,3,Sep,Fri,No,Yes,No,No,Low,High,High,High,Low,Low,High
23,9,6,4,260,50,11,36,241.476,92,0,1,4,1,0,0,65,168,23,4,Sep,Fri,No,Yes,No,No,High,High,Low,Low,Low,Low,Low
23,10,3,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,3,Oct,Tue,No,Yes,No,No,Low,High,High,High,Low,Low,High
23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3,Oct,Tue,No,No,No,No,Low,Low,Low,Low,Low,Low,High
0,10,4,4,118,13,18,50,253.465,93,1,1,1,1,0,0,98,178,31,0,Oct,Wed,Yes,Yes,No,No,Low,Low,High,High,Low,Low,High
23,10,5,4,179,26,9,30,253.465,93,0,3,0,0,0,0,56,171,19,1,Oct,Thu,No,No,No,No,Low,Low,Low,Low,Low,Low,Low
23,10,6,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,3,Oct,Fri,No,Yes,No,No,Low,High,High,High,Low,Low,High
23,10,6,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3,Oct,Fri,No,No,No,,Low,Low,Low,Low,Low,Low,Low
23,10,3,4,118,10,10,37,253.465,93,0,1,0,0,0,0,83,172,28,3,Oct,Tue,No,No,No,No,Low,Low,Low,Low,Low,Low,High
23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,2,Oct,Wed,No,No,No,,Low,Low,Low,Low,Low,Low,Low
23,10,4,4,248,25,14,47,253.465,93,0,1,2,0,0,1,86,165,32,2,Oct,Wed,No,No,No,Yes,High,Low,High,High,Low,Low,High
23,10,5,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,5,Oct,Thu,No,Yes,No,Yes,High,High,Low,High,Low,Low,Low
23,10,4,4,179,51,18,38,253.465,93,0,1,0,1,0,0,89,170,31,8,Oct,Wed,No,Yes,No,No,Low,High,High,High,Low,Low,High
23,10,4,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,3,Oct,Wed,No,No,No,,Low,Low,Low,Low,Low,Low,Low
19,10,5,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,16,Oct,Thu,No,Yes,No,No,High,High,Low,Low,Low,Low,Low
14,10,3,4,291,31,12,40,253.465,93,0,1,1,1,0,1,73,171,25,8,Oct,Tue,No,Yes,No,Yes,High,High,Low,High,Low,Low,Low
28,10,3,4,225,26,9,28,253.465,93,0,1,1,0,0,2,69,169,24,2,Oct,Tue,No,No,No,,Low,Low,Low,Low,Low,Low,Low
26,10,4,4,289,36,13,33,253.465,93,0,1,2,1,0,1,90,172,30,8,Oct,Wed,No,Yes,No,Yes,High,High,Low,Low,Low,Low,High
23,10,6,4,361,52,3,28,253.465,93,0,1,1,1,0,4,80,172,27,1,Oct,Fri,No,Yes,No,,High,High,Low,Low,Low,Low,High
28,10,6,4,260,50,11,36,253.465,93,0,1,4,1,0,0,65,168,23,3,Oct,Fri,No,Yes,No,No,High,High,Low,Low,Low,Low,Low
23,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,1,Nov,Thu,No,Yes,No,No,Low,High,High,High,High,Low,High
23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1,Nov,Wed,No,No,No,,Low,Low,Low,Low,High,Low,Low
13,11,5,4,179,51,18,38,306.345,93,0,1,0,1,0,0,89,170,31,8,Nov,Thu,No,Yes,No,No,Low,High,High,High,High,Low,High
21,11,5,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8,Nov,Thu,No,No,Yes,No,Low,Low,High,High,High,Low,Low
23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,5,Nov,Thu,No,Yes,No,Yes,High,High,Low,High,High,Low,Low
10,11,2,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,32,Nov,Mon,No,Yes,No,No,Low,Low,High,Low,High,Low,Low
22,11,2,4,189,29,13,33,306.345,93,0,1,2,0,0,2,69,167,25,8,Nov,Mon,No,No,No,,Low,High,Low,Low,High,Low,Low
14,11,2,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,40,Nov,Mon,No,Yes,No,Yes,High,High,Low,High,High,Low,Low
23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,1,Nov,Wed,No,No,No,,Low,Low,Low,Low,High,Low,Low
6,11,6,4,155,12,14,34,306.345,93,0,1,2,1,0,0,95,196,25,8,Nov,Fri,No,Yes,No,No,Low,Low,High,Low,High,Low,Low
23,11,4,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3,Nov,Wed,No,No,No,,Low,Low,Low,Low,High,Low,Low
21,11,4,4,179,22,17,40,306.345,93,0,2,2,0,1,0,63,170,22,8,Nov,Wed,No,No,Yes,No,Low,Low,High,High,High,Low,Low
13,11,6,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3,Nov,Fri,No,No,No,,Low,Low,Low,Low,High,Low,Low
28,11,6,4,260,50,11,36,306.345,93,0,1,4,1,0,0,65,168,23,4,Nov,Fri,No,Yes,No,No,High,High,Low,Low,High,Low,Low
28,11,2,4,248,25,14,47,306.345,93,0,1,2,0,0,1,86,165,32,1,Nov,Mon,No,No,No,Yes,High,Low,High,High,High,Low,High
28,11,3,4,225,26,9,28,306.345,93,0,1,1,0,0,2,69,169,24,3,Nov,Tue,No,No,No,,Low,Low,Low,Low,High,Low,Low
7,11,4,4,289,36,13,33,306.345,93,0,1,2,1,0,1,90,172,30,24,Nov,Wed,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
23,11,5,4,291,31,12,40,306.345,93,0,1,1,1,0,1,73,171,25,3,Nov,Thu,No,Yes,No,Yes,High,High,Low,High,High,Low,Low
23,12,3,4,248,25,14,47,261.306,97,0,1,2,0,0,1,86,165,32,1,Dec,Tue,No,No,No,Yes,High,Low,High,High,Low,High,High
19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,64,Dec,Tue,No,No,No,No,Low,Low,Low,Low,Low,High,High
23,12,4,4,118,13,18,50,261.306,97,0,1,1,1,0,0,98,178,31,2,Dec,Wed,No,Yes,No,No,Low,Low,High,High,Low,High,High
26,12,4,4,235,11,14,37,261.306,97,0,3,1,0,0,1,88,172,29,8,Dec,Wed,No,No,No,Yes,High,Low,High,Low,Low,High,High
23,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,Dec,Thu,No,No,No,,Low,Low,Low,Low,Low,High,Low
26,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,8,Dec,Fri,No,Yes,No,No,High,High,Low,Low,Low,High,Low
19,12,3,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,56,Dec,Tue,No,No,No,No,Low,Low,Low,Low,Low,High,High
22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,8,Dec,Wed,No,Yes,No,,High,High,Low,Low,Low,High,High
28,12,5,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,3,Dec,Thu,No,No,No,,Low,Low,Low,Low,Low,High,Low
28,12,6,4,260,50,11,36,261.306,97,0,1,4,1,0,0,65,168,23,3,Dec,Fri,No,Yes,No,No,High,High,Low,Low,Low,High,Low
23,12,3,4,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,Dec,Tue,No,No,No,,Low,Low,Low,Low,Low,High,Low
22,12,4,4,361,52,3,28,261.306,97,0,1,1,1,0,4,80,172,27,8,Dec,Wed,No,Yes,No,,High,High,Low,Low,Low,High,High
27,12,6,4,118,10,10,37,261.306,97,0,1,0,0,0,0,83,172,28,2,Dec,Fri,No,No,No,No,Low,Low,Low,Low,Low,High,High
19,12,6,2,246,25,16,41,261.306,97,0,1,0,1,0,0,67,170,23,8,Dec,Fri,No,Yes,No,No,High,Low,High,High,Low,High,Low
23,12,6,2,225,26,9,28,261.306,97,0,1,1,0,0,2,69,169,24,2,Dec,Fri,No,No,No,,Low,Low,Low,Low,Low,High,Low
23,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1,Jan,Wed,No,No,No,,Low,Low,Low,Low,High,Low,Low
19,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1,Jan,Mon,No,No,No,No,Low,Low,Low,Low,High,Low,High
27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,1,Jan,Tue,No,No,No,No,Low,Low,Low,Low,High,Low,High
18,1,3,2,155,12,14,34,308.593,95,0,1,2,1,0,0,95,196,25,8,Jan,Tue,No,Yes,No,No,Low,Low,High,Low,High,Low,Low
27,1,4,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2,Jan,Wed,No,No,No,,Low,Low,Low,Low,High,Low,Low
23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,2,Jan,Thu,No,No,No,No,Low,High,Low,Low,High,Low,Low
28,1,5,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2,Jan,Thu,No,No,No,,Low,Low,Low,Low,High,Low,Low
27,1,6,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1,Jan,Fri,No,No,No,,Low,Low,Low,Low,High,Low,Low
27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,Jan,Mon,No,No,No,No,Low,Low,Low,Low,High,Low,High
27,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,2,Jan,Tue,No,No,No,,Low,Low,Low,Low,High,Low,Low
27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,Jan,Tue,No,No,No,No,Low,Low,Low,Low,High,Low,High
27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,Jan,Wed,No,No,No,No,Low,Low,Low,Low,High,Low,High
27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,Jan,Thu,No,No,No,No,Low,Low,Low,Low,High,Low,High
27,1,6,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,Jan,Fri,No,No,No,No,Low,Low,Low,Low,High,Low,High
27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,Jan,Mon,No,No,No,No,Low,Low,Low,Low,High,Low,High
27,1,3,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,Jan,Tue,No,No,No,No,Low,Low,Low,Low,High,Low,High
18,1,3,2,179,26,9,30,308.593,95,0,3,0,0,0,0,56,171,19,8,Jan,Tue,No,No,No,No,Low,Low,Low,Low,High,Low,Low
18,1,3,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,8,Jan,Tue,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
27,1,4,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,Jan,Wed,No,No,No,No,Low,Low,Low,Low,High,Low,High
23,1,5,2,184,42,7,27,308.593,95,0,1,0,0,0,0,58,167,21,2,Jan,Thu,No,No,No,No,Low,High,Low,Low,High,Low,Low
27,1,5,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,2,Jan,Thu,No,No,No,No,Low,Low,Low,Low,High,Low,High
27,1,2,2,118,10,10,37,308.593,95,0,1,0,0,0,0,83,172,28,0,Jan,Mon,No,No,No,No,Low,Low,Low,Low,High,Low,High
23,1,3,2,225,26,9,28,308.593,95,0,1,1,0,0,2,69,169,24,1,Jan,Tue,No,No,No,,Low,Low,Low,Low,High,Low,Low
22,1,5,2,289,36,13,33,308.593,95,0,1,2,1,0,1,90,172,30,3,Jan,Thu,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
23,2,6,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,1,Feb,Fri,No,No,No,No,Low,High,Low,Low,High,High,Low
1,2,4,2,246,25,16,41,302.585,99,0,1,0,1,0,0,67,170,23,8,Feb,Wed,No,Yes,No,No,High,Low,High,High,High,High,Low
11,2,4,2,179,51,18,38,302.585,99,0,1,0,1,0,0,89,170,31,8,Feb,Wed,No,Yes,No,No,Low,High,High,High,High,High,High
28,2,5,2,155,12,14,34,302.585,99,0,1,2,1,0,0,95,196,25,2,Feb,Thu,No,Yes,No,No,Low,Low,High,Low,High,High,Low
23,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,8,Feb,Thu,No,No,No,,Low,High,Low,Low,High,High,Low
28,2,6,2,260,50,11,36,302.585,99,0,1,4,1,0,0,65,168,23,2,Feb,Fri,No,Yes,No,No,High,High,Low,Low,High,High,Low
22,2,6,2,289,36,13,33,302.585,99,0,1,2,1,0,1,90,172,30,8,Feb,Fri,No,Yes,No,Yes,High,High,Low,Low,High,High,High
11,2,2,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8,Feb,Mon,No,No,No,No,High,Low,Low,High,High,High,Low
1,2,3,2,388,15,9,50,302.585,99,0,1,0,0,0,0,76,178,24,8,Feb,Tue,No,No,No,No,High,Low,Low,High,High,High,Low
28,2,2,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,2,Feb,Mon,No,No,No,,Low,Low,Low,Low,High,High,Low
23,2,3,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,2,Feb,Tue,No,No,No,,Low,Low,Low,Low,High,High,Low
23,2,3,2,179,26,9,30,302.585,99,0,3,0,0,0,0,56,171,19,1,Feb,Tue,No,No,No,No,Low,Low,Low,Low,High,High,Low
23,2,3,2,184,42,7,27,302.585,99,0,1,0,0,0,0,58,167,21,8,Feb,Tue,No,No,No,No,Low,High,Low,Low,High,High,Low
25,2,5,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,3,Feb,Thu,No,No,No,,Low,Low,Low,Low,High,High,Low
18,2,2,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25,8,Feb,Mon,No,No,No,No,High,Low,Low,Low,High,High,Low
23,2,3,2,330,16,4,28,302.585,99,0,2,0,0,0,0,84,182,25,1,Feb,Tue,No,No,No,No,High,Low,Low,Low,High,High,Low
23,2,4,2,225,26,9,28,302.585,99,0,1,1,0,0,2,69,169,24,1,Feb,Wed,No,No,No,,Low,Low,Low,Low,High,High,Low
19,2,5,2,189,29,13,33,302.585,99,0,1,2,0,0,2,69,167,25,8,Feb,Thu,No,No,No,,Low,High,Low,Low,High,High,Low
28,3,3,2,291,50,12,32,343.253,95,0,1,0,1,0,0,65,169,23,2,Mar,Tue,No,Yes,No,No,High,High,Low,Low,High,Low,Low
19,3,3,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,8,Mar,Tue,No,Yes,No,No,High,High,Low,Low,High,Low,Low
19,3,3,2,157,27,6,29,343.253,95,0,1,0,1,1,0,75,185,22,3,Mar,Tue,No,Yes,Yes,No,Low,High,Low,Low,High,Low,Low
17,3,3,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,8,Mar,Tue,No,No,Yes,No,Low,Low,High,High,High,Low,Low
22,3,4,2,291,31,12,40,343.253,95,0,1,1,1,0,1,73,171,25,8,Mar,Wed,No,Yes,No,Yes,High,High,Low,High,High,Low,Low
13,3,4,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,8,Mar,Wed,No,Yes,No,No,High,High,Low,Low,High,Low,Low
13,3,5,2,179,26,9,30,343.253,95,0,3,0,0,0,0,56,171,19,8,Mar,Thu,No,No,No,No,Low,Low,Low,Low,High,Low,Low
14,3,6,2,248,25,14,47,343.253,95,0,1,2,0,0,1,86,165,32,3,Mar,Fri,No,No,No,Yes,High,Low,High,High,High,Low,High
13,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,40,Mar,Fri,No,Yes,No,No,High,High,Low,Low,High,Low,Low
11,3,2,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,40,Mar,Mon,No,No,Yes,No,Low,Low,High,High,High,Low,Low
1,3,2,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,16,Mar,Mon,No,Yes,No,No,Low,Low,High,Low,High,Low,Low
26,3,2,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,16,Mar,Mon,No,Yes,No,No,High,High,Low,Low,High,Low,Low
13,3,3,2,155,12,14,34,343.253,95,0,1,2,1,0,0,95,196,25,8,Mar,Tue,No,Yes,No,No,Low,Low,High,Low,High,Low,Low
6,3,5,2,289,36,13,33,343.253,95,0,1,2,1,0,1,90,172,30,8,Mar,Thu,No,Yes,No,Yes,High,High,Low,Low,High,Low,High
8,3,5,2,179,22,17,40,343.253,95,0,2,2,0,1,0,63,170,22,8,Mar,Thu,No,No,Yes,No,Low,Low,High,High,High,Low,Low
28,3,6,2,260,50,11,36,343.253,95,0,1,4,1,0,0,65,168,23,4,Mar,Fri,No,Yes,No,No,High,High,Low,Low,High,Low,Low
23,3,6,2,225,26,9,28,343.253,95,0,1,1,0,0,2,69,169,24,1,Mar,Fri,No,No,No,,Low,Low,Low,Low,High,Low,Low
14,3,2,2,279,5,14,39,343.253,95,0,1,2,1,1,0,68,168,24,8,Mar,Mon,No,Yes,Yes,No,High,Low,High,High,High,Low,Low
13,3,3,2,179,51,18,38,343.253,95,0,1,0,1,0,0,89,170,31,24,Mar,Tue,No,Yes,No,No,Low,High,High,High,High,Low,High
